CIFNumber,Customer Name,Customer-since,DateofBirth,Gender,City,Existingloans-to-income-ratio,Creditscore,Monthly-Income,Profession,Loan-productname,Date-loan-given,Loan-Tenor-in-months,NO of Months From Loan Date, LoanAmount , InterestRate , EquatedMonthlyInstalment , NumberofInstalmentsPaid , Numberofinstalments-paid-byDue-date , Numberofinstalments-paid afterDuedate , NumberofInstalments-NotPaidasoftoday , PrincipalAmountOutstanding , InterestAmountOutstandingas of today ,Numberofcallsmade,Response, Lessthan30daysoutstandingprincipalplusinterest , 30ormorebutlessthan60daysoutstandingprincipalplusinterest , 60ormorebutlessthan90daysoutstandingprincipalplusinterest , 90ormorebutlessthan 180daysoutstandingprincipalplusinterest , 180daysormoreoutstandingprincipalplusinterest ,Interestaccrualstopdate,FB Field 1,FB Field 2,FB Field 3,Twitter Field 1,Twitter Field 2,LInkedIn 1,LinkedIn2
11001000,Halim Dwivedi,12/31/2011,3/14/1960,Female,Mumbai,4,742,15k to 25k,Small Bussiness Owner,Home Loan,1/25/2014,18,21," 521,109.00 ", 11.50 ," (31,657.39)", 18.00 , 10.00 , 8.00 , 3.00 ," 86,851.50 "," (181,823.68)",0,N/A, -   , -   ," (94,972.18)", -   , -   ,,,,,,,,
11001000,Halim Dwivedi,12/31/2011,3/14/1960,Female,Mumbai,4,853,15k to 25k,Small Bussiness Owner,Personal Loan,5/18/2013,30,29," 178,777.00 ", 12.50 ," (6,969.52)", 27.00 , 17.00 , 10.00 , 2.00 ," 11,918.47 "," (25,857.50)",0,N/A, -   ," (13,939.03)", -   , -   , -   ,,,,,,,,
11001015,Girisha Sharma,4/5/2004,7/9/1989,Male,Mumbai,2,548,15k to 25k,Small Bussiness Owner,Auto Loan,6/20/2015,36,4," 358,350.00 ", 10.50 ," (11,647.25)", 4.00 , 3.00 , 1.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001015,Girisha Sharma,4/5/2004,7/9/1989,Male,Mumbai,14,865,15k to 25k,Small Bussiness Owner,Personal Loan,3/22/2014,18,19," 65,109.00 ", 12.50 ," (3,985.62)", 17.00 , 10.00 , 7.00 , 2.00 ," 7,234.33 "," (15,205.57)",0,N/A, -   ," (7,971.24)", -   , -   , -   ,,,,,,,,
11001030,Jyotish Mane,10/28/2004,3/5/1973,Male,Mumbai,3,596,100k to 200k,Bussiness Owner,Auto Loan,2/15/2015,18,8," 400,617.00 ", 10.50 ," (24,152.22)", 8.00 , 8.00 , -   , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001030,Jyotish Mane,10/28/2004,3/5/1973,Male,Mumbai,7,867,100k to 200k,Bussiness Owner,Personal Loan,6/25/2013,18,28," 134,146.00 ", 12.50 ," (8,211.69)", 26.00 , 22.00 , 4.00 , 2.00 ," 14,905.11 "," (31,328.49)",0,N/A, -   ," (16,423.38)", -   , -   , -   ,,,,,,,,
11001045,Kumara Apte,12/19/2010,3/31/1990,Male,Mumbai,3,860,40k to 60k,Private Sector Employee,Home Loan,6/15/2015,36,4," 512,520.00 ", 11.50 ," (16,900.86)", 2.00 , 2.00 , -   , 2.00 ," 28,473.33 "," (62,275.06)",0,N/A, -   ," (33,801.73)", -   , -   , -   ,,,,,,,,
11001045,Kumara Apte,12/19/2010,3/31/1990,Male,Mumbai,10,737,40k to 60k,Private Sector Employee,Personal Loan,1/10/2015,30,9," 121,899.00 ", 12.50 ," (4,752.16)", 9.00 , 6.00 , 3.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001060,Taj Gounder,11/2/2010,9/17/1956,Female,Mumbai,5,720,15k to 25k,Small Bussiness Owner,Home Loan,4/13/2013,18,30," 647,936.00 ", 11.50 ," (39,362.14)", 27.00 , 20.00 , 7.00 , 3.00 ," 107,989.33 "," (226,075.75)",0,N/A, -   , -   ," (118,086.41)", -   , -   ,,,,,,,,
11001060,Taj Gounder,11/2/2010,9/17/1956,Female,Mumbai,1,686,15k to 25k,Small Bussiness Owner,Personal Loan,12/27/2012,36,34," 81,531.00 ", 12.50 ," (2,727.51)", 31.00 , 21.00 , 10.00 , 3.00 ," 6,794.25 "," (14,976.77)",0,N/A, -   , -   ," (8,182.52)", -   , -   ,,,,,,,,
