CIFNumber,Customer Name,Existingloans-to-income-ratio,Creditscore,Loan-Tenor-in-months,NO of Months From Loan Date, EquatedMonthlyInstalment , NumberofInstalmentsPaid , Numberofinstalments-paid-byDue-date , Numberofinstalments-paid afterDuedate , NumberofInstalments-NotPaidasoftoday , PrincipalAmountOutstanding , InterestAmountOutstandingas of today ,SQ
11001000,Halim Dwivedi,4,742,18,21,"-31,657.39",18,10,8,3,"86,851.50","-181,823.68",3
11001000,Halim Dwivedi,4,853,30,29,"-6,969.52",27,17,10,2,"11,918.47","-25,857.50",4
11001015,Girisha Sharma,2,548,36,4,"-11,647.25",4,3,1,0,0.00,0.00,3
11001015,Girisha Sharma,14,865,18,19,"-3,985.62",17,10,7,2,"7,234.33","-15,205.57",5
11001030,Jyotish Mane,3,596,18,8,"-24,152.22",8,8,0.00,0,0.00,0.00,6
11001030,Jyotish Mane,7,867,18,28,"-8,211.69",26,22,4,2,"14,905.11","-31,328.49",4
11001045,Kumara Apte,3,860,36,4,"-16,900.86",2,2,0.00,2,"28,473.33","-62,275.06",2
11001045,Kumara Apte,10,737,30,9,"-4,752.16",9,6,3,0,0.00,0.00,1
11001060,Taj Gounder,5,720,18,30,"-39,362.14",27,20,7,3,"107,989.33","-226,075.75",6
11001060,Taj Gounder,1,686,36,34,"-2,727.51",31,21,10,3,"6,794.25","-14,976.77",7
11001075,Kapila Rege,20,820,18,19,"-35,452.93",16,4,12,3,"97,264.50","-203,623.30",8
11001075,Kapila Rege,7,707,36,8,"-4,333.82",8,0.00,8,0,0.00,0.00,9
11001090,Varuna Grover,16,510,24,13,"-28,189.77",11,9,2,2,"50,152.25","-106,531.78",4
11001090,Varuna Grover,7,795,18,28,"-4,595.99",28,5,23,0,0.00,0.00,4
11001105,Atman Khandke,19,556,18,7,"-30,892.85",5,5,0.00,2,"56,502.67","-118,288.37",2
11001105,Atman Khandke,19,596,36,24,"-6,106.36",22,17,5,2,"10,140.67","-22,353.38",5
11001120,Bhaskar Varghese,2,524,18,26,"-21,706.11",25,9,16,1,"20,002.39","-41,708.50",6
11001120,Bhaskar Varghese,1,714,18,29,"-8,566.18",28,15,13,1,"7,774.28","-16,340.46",6
11001135,Archana Issac,1,812,18,7,"-18,232.58",6,2,4,1,"16,801.50","-35,034.08",7
11001135,Archana Issac,2,540,18,18,"-4,610.19",18,14,4,0,0.00,0.00,8
11001150,Bhavata Morar,7,743,30,29,"-23,441.50",26,10,16,3,"60,867.00","-131,191.51",9
11001150,Bhavata Morar,3,636,30,31,"-7,382.09",28,0.00,28,3,"18,936.00","-41,082.26",7
11001165,Frashegird Devar,10,542,30,12,"-16,814.79",12,7,5,0,0.00,0.00,2
11001165,Frashegird Devar,4,806,18,23,"-11,004.18",23,12,11,0,0.00,0.00,1
11001180,Ekram Mehta,15,708,36,14,"-8,287.64",11,1,10,3,"21,248.75","-46,111.66",5
11001180,Ekram Mehta,20,596,30,4,"-6,393.40",2,1,1,2,"10,933.27","-23,720.07",6
11001195,Frashegird Jaggi,10,613,24,34,"-15,636.98",34,30,4,0,0.00,0.00,7
11001195,Frashegird Jaggi,5,582,18,12,"-6,970.14",9,7,2,3,"18,977.33","-39,887.74",6
11001210,Shesha Sandhu,8,640,36,27,"-14,135.48",27,17,10,0,0.00,0.00,7
11001210,Shesha Sandhu,4,868,36,15,"-5,103.58",14,14,0.00,1,"4,237.69","-9,341.28",8
11001225,Kapila Sharma,9,621,36,32,"-17,162.53",31,7,24,1,"14,457.08","-31,619.61",9
11001225,Kapila Sharma,4,675,18,15,"-11,697.86",13,3,10,2,"21,232.89","-44,628.61",5
11001240,Kumara Shenoy,7,666,36,25,"-8,862.54",22,10,12,3,"22,722.75","-49,310.37",6
11001240,Kumara Shenoy,8,853,36,3,"-4,216.13",0.00,0.00,0.00,3,"10,502.42","-23,150.80",5
11001255,Pitar Kalla,6,570,30,18,"-20,363.69",17,6,11,1,"17,625.10","-37,988.79",6
11001255,Pitar Kalla,20,550,18,15,"-9,656.90",14,13,1,1,"8,764.17","-18,421.07",5
11001270,Agnimukha Khalfe,7,609,24,34,"-32,725.69",31,26,5,3,"87,333.13","-185,510.19",6
11001270,Agnimukha Khalfe,20,709,30,33,"-2,744.35",33,31,2,0,0.00,0.00,5
11001285,Agneya Minhas,0,900,18,33,"-39,210.93",30,9,21,3,"107,574.50","-225,207.29",6
11001285,Agneya Minhas,3,582,18,28,"-6,407.02",26,22,4,2,"11,629.44","-24,443.49",5
11001300,Adharma Ganjoo,16,545,24,27,"-31,495.66",26,8,18,1,"28,016.88","-59,512.54",6
11001300,Adharma Ganjoo,10,694,24,14,"-4,338.65",13,3,10,1,"3,821.33","-8,159.98",5
11001315,Yamal Dass,10,598,30,4,"-14,864.56",2,1,1,2,"26,047.80","-55,776.92",6
11001315,Yamal Dass,2,568,36,16,"-3,203.59",15,12,3,1,"2,660.06","-5,863.64",2
11001330,Dasras Sarma,16,663,18,21,"-30,141.67",18,9,9,3,"83,327.50","-173,752.50",1
11001330,Dasras Sarma,12,657,18,29,"-3,404.33",26,17,9,3,"9,268.83","-19,481.81",5
